DATE,GDPC1,cpiaucsl,GDPDEF,UNRATE
1/01/1947,1934.5,21.7,12.566,NA
1/04/1947,1932.3,22.01,12.745,NA
1/07/1947,1930.3,22.49,12.957,NA
1/10/1947,1960.7,23.127,13.276,NA
1/01/1948,1989.5,23.617,13.379,3.7
1/04/1948,2021.9,23.993,13.497,3.7
1/07/1948,2033.2,24.397,13.747,3.8
1/10/1948,2035.3,24.173,13.789,3.8
1/01/1949,2007.5,23.943,13.717,4.7
1/04/1949,2000.8,23.917,13.579,5.9
1/07/1949,2022.8,23.717,13.509,6.7
1/10/1949,2004.7,23.66,13.518,7
1/01/1950,2084.6,23.587,13.49,6.4
1/04/1950,2147.6,23.767,13.538,5.6
1/07/1950,2230.4,24.203,13.832,4.6
1/10/1950,2273.4,24.693,14.09,4.2
1/01/1951,2304.5,25.697,14.596,3.5
1/04/1951,2344.5,25.947,14.692,3.1
1/07/1951,2392.8,25.933,14.701,3.2
1/10/1951,2398.1,26.317,14.869,3.4
1/01/1952,2423.5,26.417,14.863,3.1
1/04/1952,2428.5,26.487,14.882,3
1/07/1952,2446.1,26.667,15.048,3.2
1/10/1952,2526.4,26.697,15.091,2.8
1/01/1953,2573.4,26.62,15.096,2.7
1/04/1953,2593.5,26.72,15.125,2.6
1/07/1953,2578.9,26.843,15.188,2.7
1/10/1953,2539.8,26.89,15.219,3.7
1/01/1954,2528,26.953,15.266,5.3
1/04/1954,2530.7,26.91,15.281,5.8
1/07/1954,2559.4,26.84,15.3,6
1/10/1954,2609.3,26.757,15.343,5.3
1/01/1955,2683.8,26.793,15.417,4.7
1/04/1955,2727.5,26.757,15.481,4.4
1/07/1955,2764.1,26.777,15.59,4.1
1/10/1955,2780.8,26.857,15.743,4.2
1/01/1956,2770,26.86,15.902,4
1/04/1956,2792.9,27.037,15.997,4.2
1/07/1956,2790.6,27.317,16.197,4.1
1/10/1956,2836.2,27.55,16.264,4.1
1/01/1957,2854.5,27.777,16.485,3.9
1/04/1957,2848.2,28.013,16.601,4.1
1/07/1957,2875.9,28.263,16.701,4.2
1/10/1957,2846.4,28.4,16.711,4.9
1/01/1958,2772.7,28.737,16.892,6.3
1/04/1958,2790.9,28.93,16.94,7.4
1/07/1958,2855.5,28.913,17.043,7.3
1/10/1958,2922.3,28.943,17.123,6.4
1/01/1959,2976.6,28.993,17.169,5.8
1/04/1959,3049,29.043,17.194,5.1
1/07/1959,3043.1,29.193,17.258,5.3
1/10/1959,3055.1,29.37,17.326,5.6
1/01/1960,3123.2,29.397,17.397,5.1
1/04/1960,3111.3,29.573,17.443,5.2
1/07/1960,3119.1,29.59,17.506,5.5
1/10/1960,3081.3,29.78,17.56,6.3
1/01/1961,3102.3,29.84,17.598,6.8
1/04/1961,3159.9,29.83,17.641,7
1/07/1961,3212.6,29.947,17.687,6.8
1/10/1961,3277.7,29.99,17.745,6.2
1/01/1962,3336.8,30.107,17.837,5.6
1/04/1962,3372.7,30.22,17.866,5.5
1/07/1962,3404.8,30.307,17.903,5.6
1/10/1962,3418,30.38,17.938,5.5
1/01/1963,3456.1,30.477,18.017,5.8
1/04/1963,3501.1,30.533,18.047,5.7
1/07/1963,3569.5,30.72,18.069,5.5
1/10/1963,3595,30.803,18.216,5.6
1/01/1964,3672.7,30.93,18.274,5.5
1/04/1964,3716.4,30.98,18.318,5.2
1/07/1964,3766.9,31.05,18.392,5
1/10/1964,3780.2,31.193,18.476,5
1/01/1965,3873.5,31.29,18.569,4.9
1/04/1965,3926.4,31.49,18.652,4.7
1/07/1965,4006.2,31.583,18.726,4.4
1/10/1965,4100.6,31.75,18.853,4.1
1/01/1966,4201.9,32.047,18.975,3.9
1/04/1966,4219.1,32.337,19.131,3.8
1/07/1966,4249.2,32.617,19.317,3.8
1/10/1966,4285.6,32.883,19.481,3.7
1/01/1967,4324.9,32.967,19.562,3.8
1/04/1967,4328.7,33.167,19.661,3.8
1/07/1967,4366.1,33.5,19.849,3.8
1/10/1967,4401.2,33.867,20.067,3.9
1/01/1968,4490.6,34.2,20.29,3.7
1/04/1968,4566.4,34.533,20.504,3.6
1/07/1968,4599.3,35,20.706,3.5
1/10/1968,4619.8,35.433,20.999,3.4
1/01/1969,4691.6,35.867,21.217,3.4
1/04/1969,4706.7,36.433,21.488,3.4
1/07/1969,4736.1,36.933,21.79,3.6
1/10/1969,4715.5,37.5,22.071,3.6
1/01/1970,4707.1,38.1,22.382,4.2
1/04/1970,4715.4,38.633,22.694,4.8
1/07/1970,4757.2,39.033,22.88,5.2
1/10/1970,4708.3,39.6,23.182,5.8
1/01/1971,4834.3,39.933,23.536,5.9
1/04/1971,4861.9,40.3,23.846,5.9
1/07/1971,4900,40.7,24.088,6
1/10/1971,4914.3,41,24.288,5.9
1/01/1972,5002.4,41.333,24.664,5.8
1/04/1972,5118.3,41.6,24.815,5.7
1/07/1972,5165.4,41.933,25.048,5.6
1/10/1972,5251.2,42.367,25.366,5.4
1/01/1973,5380.5,43.033,25.661,4.9
1/04/1973,5441.5,43.933,26.052,4.9
1/07/1973,5411.9,44.8,26.549,4.8
1/10/1973,5462.4,45.933,27.077,4.8
1/01/1974,5417,47.3,27.592,5.1
1/04/1974,5431.3,48.567,28.248,5.2
1/07/1974,5378.7,49.933,29.067,5.6
1/10/1974,5357.2,51.467,29.923,6.6
1/01/1975,5292.4,52.567,30.601,8.3
1/04/1975,5333.2,53.2,31.059,8.9
1/07/1975,5421.4,54.267,31.612,8.5
1/10/1975,5494.4,55.267,32.139,8.3
1/01/1976,5618.5,55.9,32.473,7.7
1/04/1976,5661,56.4,32.803,7.6
1/07/1976,5689.8,57.3,33.226,7.7
1/10/1976,5732.5,58.133,33.815,7.8
1/01/1977,5799.2,59.2,34.359,7.5
1/04/1977,5913,60.233,34.841,7.1
1/07/1977,6017.6,61.067,35.27,6.9
1/10/1977,6018.2,61.967,36.036,6.7
1/01/1978,6039.2,63.033,36.573,6.3
1/04/1978,6274,64.467,37.242,6
1/07/1978,6335.3,65.967,37.865,6
1/10/1978,6420.3,67.5,38.661,5.9
1/01/1979,6433,69.2,39.352,5.9
1/04/1979,6440.8,71.4,40.304,5.7
1/07/1979,6487.1,73.7,41.165,5.9
1/10/1979,6503.9,76.033,41.986,6
1/01/1980,6524.9,79.033,42.859,6.3
1/04/1980,6392.6,81.7,43.8,7.3
1/07/1980,6382.9,83.233,44.808,7.7
1/10/1980,6501.2,85.567,46.046,7.4
1/01/1981,6635.7,87.933,47.196,7.4
1/04/1981,6587.3,89.767,48.081,7.4
1/07/1981,6662.9,92.267,48.946,7.4
1/10/1981,6585.1,93.767,49.863,8.2
1/01/1982,6475,94.6,50.561,8.8
1/04/1982,6510.2,95.967,51.17,9.4
1/07/1982,6486.8,97.633,51.907,9.9
1/10/1982,6493.1,97.933,52.483,10.7
1/01/1983,6578.2,98,52.907,10.4
1/04/1983,6728.3,99.133,53.265,10.1
1/07/1983,6860,100.1,53.823,9.4
1/10/1983,7001.5,101.1,54.219,8.5
1/01/1984,7140.6,102.533,54.796,7.9
1/04/1984,7266,103.5,55.257,7.4
1/07/1984,7337.5,104.4,55.705,7.4
1/10/1984,7396,105.3,56.079,7.3
1/01/1985,7469.5,106.267,56.724,7.2
1/04/1985,7537.9,107.233,57.075,7.3
1/07/1985,7655.2,107.9,57.406,7.2
1/10/1985,7712.6,109,57.738,7
1/01/1986,7784.1,109.567,58.02,7
1/04/1986,7819.8,109.033,58.252,7.2
1/07/1986,7898.6,109.7,58.487,7
1/10/1986,7939.5,110.467,58.813,6.8
1/01/1987,7995,111.8,59.24,6.6
1/04/1987,8084.7,113.067,59.637,6.3
1/07/1987,8158,114.267,60.07,6
1/10/1987,8292.7,115.333,60.567,5.8
1/01/1988,8339.3,116.233,61.043,5.7
1/04/1988,8449.5,117.567,61.633,5.5
1/07/1988,8498.3,119,62.359,5.5
1/10/1988,8610.9,120.3,62.859,5.3
1/01/1989,8697.7,121.667,63.55,5.2
1/04/1989,8766.1,123.633,64.207,5.2
1/07/1989,8831.5,124.6,64.672,5.2
1/10/1989,8850.2,125.867,65.122,5.4
1/01/1990,8947.1,128.033,65.841,5.3
1/04/1990,8981.7,129.3,66.52,5.3
1/07/1990,8983.9,131.533,67.114,5.7
1/10/1990,8907.4,133.767,67.622,6.1
1/01/1991,8865.6,134.767,68.296,6.6
1/04/1991,8934.4,135.567,68.764,6.8
1/07/1991,8977.3,136.6,69.269,6.9
1/10/1991,9016.4,137.733,69.643,7.1
1/01/1992,9123,138.667,69.942,7.4
1/04/1992,9223.5,139.733,70.388,7.6
1/07/1992,9313.2,140.8,70.723,7.6
1/10/1992,9406.5,142.033,71.201,7.4
1/01/1993,9424.1,143.067,71.606,7.1
1/04/1993,9480.1,144.1,72.041,7.1
1/07/1993,9526.3,144.767,72.475,6.8
1/10/1993,9653.5,145.967,72.853,6.6
1/01/1994,9748.2,146.7,73.206,6.6
1/04/1994,9881.4,147.533,73.571,6.2
1/07/1994,9939.7,148.9,73.969,6
1/10/1994,10052.5,149.767,74.376,5.6
1/01/1995,10086.9,150.867,74.803,5.5
1/04/1995,10122.1,152.1,75.132,5.7
1/07/1995,10208.8,152.867,75.489,5.7
1/10/1995,10281.2,153.7,75.861,5.6
1/01/1996,10348.7,155.067,76.272,5.5
1/04/1996,10529.4,156.4,76.562,5.5
1/07/1996,10626.8,157.3,76.778,5.3
1/10/1996,10739.1,158.667,77.168,5.3
1/01/1997,10820.9,159.633,77.647,5.2
1/04/1997,10984.2,160,77.857,5
1/07/1997,11124,160.8,78.135,4.9
1/10/1997,11210.3,161.667,78.395,4.7
1/01/1998,11321.2,162,78.523,4.6
1/04/1998,11431,162.533,78.687,4.4
1/07/1998,11580.6,163.367,78.981,4.5
1/10/1998,11770.7,164.133,79.228,4.4
1/01/1999,11864.7,164.733,79.624,4.3
1/04/1999,11962.5,165.967,79.891,4.3
1/07/1999,12113.1,167.2,80.18,4.2
1/10/1999,12323.3,168.433,80.547,4.1
1/01/2000,12359.1,170.1,81.163,4
1/04/2000,12592.5,171.433,81.623,3.9
1/07/2000,12607.7,173,82.152,4
1/10/2000,12679.3,174.233,82.593,3.9
1/01/2001,12643.3,175.9,83.112,4.2
1/04/2001,12710.3,177.133,83.699,4.4
1/07/2001,12670.1,177.633,83.973,4.8
1/10/2001,12705.3,177.5,84.227,5.5
1/01/2002,12822.3,178.067,84.497,5.7
1/04/2002,12893,179.467,84.812,5.8
1/07/2002,12955.8,180.433,85.19,5.7
1/10/2002,12964,181.5,85.651,5.9
1/01/2003,13031.2,183.367,86.179,5.9
1/04/2003,13152.1,183.067,86.455,6.1
1/07/2003,13372.4,184.433,86.934,6.1
1/10/2003,13528.7,185.133,87.346,5.8
1/01/2004,13606.5,186.7,88.108,5.7
1/04/2004,13706.2,188.167,88.875,5.6
1/07/2004,13830.8,189.367,89.422,5.4
1/10/2004,13950.4,191.4,90.049,5.4
1/01/2005,14099.1,192.367,90.883,5.3
1/04/2005,14172.7,193.667,91.543,5.1
1/07/2005,14291.8,196.6,92.399,5
1/10/2005,14373.4,198.433,93.1,5
1/01/2006,14546.1,199.467,93.832,4.7
1/04/2006,14589.6,201.267,94.587,4.6
1/07/2006,14602.6,203.167,95.247,4.6
1/10/2006,14716.9,202.333,95.58,4.4
1/01/2007,14726,204.317,96.654,4.5
1/04/2007,14838.7,206.631,97.194,4.5
1/07/2007,14938.5,207.939,97.531,4.7
1/10/2007,14991.8,210.49,97.956,4.8
1/01/2008,14889.5,212.77,98.516,5
1/04/2008,14963.4,215.538,98.995,5.3
1/07/2008,14891.6,218.861,99.673,6
1/10/2008,14577,213.849,99.815,6.9
1/01/2009,14375,212.378,100.062,8.3
1/04/2009,14355.6,213.507,99.895,9.3
1/07/2009,14402.5,215.344,99.873,9.6
1/10/2009,14541.9,217.03,100.169,9.9
1/01/2010,14604.8,217.374,100.522,9.8
1/04/2010,14745.9,217.297,100.968,9.6
1/07/2010,14845.5,217.934,101.429,9.5
1/10/2010,14939,219.699,101.949,9.5
1/01/2011,14881.3,222.044,102.399,9
1/04/2011,14989.6,224.568,103.145,9.1
1/07/2011,15021.1,226.033,103.768,9
1/10/2011,15190.3,227.047,103.917,8.6
1/01/2012,15291,228.377,104.466,8.3
1/04/2012,15362.4,228.838,104.943,8.2
1/07/2012,15380.8,229.769,105.508,8
1/10/2012,15384.3,231.402,105.935,7.8
1/01/2013,15491.9,232.32,106.349,7.7
1/04/2013,15521.6,232.036,106.57,7.5
1/07/2013,15641.3,233.213,107.084,7.3
1/10/2013,15793.9,234.285,107.636,6.9
1/01/2014,15747,235.651,108.117,6.7
1/04/2014,15900.8,236.771,108.709,6.2
1/07/2014,16094.5,237.311,109.165,6.1
1/10/2014,16186.7,237.125,109.3,5.7
1/01/2015,16269,235.409,109.31,5.6
1/04/2015,16374.2,236.832,109.919,5.4
1/07/2015,16454.9,237.642,110.253,5.2
1/10/2015,16490.7,238.097,110.504,5
1/01/2016,16525,237.911,110.63,4.9
1/04/2016,16570.2,239.409,111.263,4.9
